,input0,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,input26,input27,input28,input29,input30,input31,input32,input33,input34,input35,input36,input37,input38,input39,input40,input41,input42,input43,input44,input45,input46,input47,input48,input49,input50,input51,input52,input53,input54,input55,input56,input57,input58,input59,input60,input61,input62,input63,input64,input65,input66,input67,input68,input69,input70,input71,input72,input73,input74,input75,input76,input77,input78,input79,input80,input81,input82,input83,input84,input85,input86,input87,input88,input89,input90,input91,input92,input93,input94,input95,input96,input97,input98,input99,label
1,1.30E-03,1.24E-02,0.66727,1.8106,2.9403,4.0545,5.1446,6.2053,7.2421,8.2526,9.2343,10.186,11.104,11.991,12.844,13.662,14.445,15.189,15.892,16.553,17.169,17.74,18.264,18.742,19.173,19.558,19.896,20.19,20.44,20.647,20.813,20.939,21.028,21.081,21.102,21.179,21.678,22.145,22.576,22.969,23.321,23.628,23.889,24.101,24.265,24.377,24.438,24.446,24.399,24.296,24.138,23.925,23.657,23.333,22.956,22.526,22.043,21.51,20.929,20.299,19.622,18.899,18.131,17.324,16.482,15.61,14.713,13.791,12.853,12.3,11.873,11.425,10.954,10.46,9.9394,9.3911,8.8125,8.2006,7.5569,6.8811,6.1729,5.4345,4.6809,3.9516,3.438,3.8763,4.6273,5.3972,6.1429,6.8546,7.5368,8.1908,8.8168,9.4143,9.9868,10.532,11.055,11.555,12.034,12.493,0
2,2.69E-03,2.06E-02,0.76274,1.9052,3.0339,4.1465,5.234,6.2926,7.3276,8.3357,9.3151,10.264,11.18,12.064,12.914,13.728,14.509,15.249,15.949,16.605,17.219,17.785,18.305,18.78,19.207,19.587,19.922,20.212,20.458,20.662,20.825,20.948,21.034,21.084,21.102,21.221,21.719,22.183,22.611,23,23.348,23.651,23.908,24.117,24.276,24.384,24.441,24.444,24.393,24.285,24.123,23.905,23.632,23.304,22.922,22.488,22.001,21.463,20.878,20.244,19.563,18.836,18.065,17.255,16.411,15.537,14.637,13.713,12.774,12.265,11.837,11.386,10.914,10.418,9.8948,9.3442,8.7624,8.1483,7.5012,6.8236,6.1122,5.3721,4.6181,3.895,3.4143,3.9347,4.6915,5.4607,6.2036,6.9126,7.5924,8.244,8.8677,9.4636,10.033,10.577,11.098,11.596,12.073,12.53,0
3,3.27E-03,3.78E-02,0.85835,1.9994,3.1279,4.2376,5.3228,6.3796,7.4125,8.4188,9.3954,10.342,11.254,12.136,12.983,13.795,14.572,15.309,16.005,16.658,17.268,17.83,18.347,18.817,19.241,19.617,19.948,20.235,20.477,20.678,20.837,20.957,21.039,21.087,21.102,21.264,21.759,22.22,22.645,23.031,23.375,23.675,23.928,24.132,24.287,24.391,24.443,24.442,24.386,24.274,24.107,23.884,23.607,23.274,22.888,22.449,21.958,21.416,20.827,20.19,19.505,18.773,17.999,17.186,16.339,15.462,14.56,13.636,12.695,12.23,11.8,11.348,10.874,10.375,9.8502,9.2971,8.7125,8.0955,7.4462,6.7657,6.0513,5.3097,4.5554,3.8397,3.3925,3.9936,4.7566,5.5233,6.2637,6.9703,7.6478,8.2971,8.9184,9.5122,10.079,10.621,11.14,11.637,12.112,12.567,0
4,4.41E-03,6.46E-02,0.95384,2.0943,3.2207,4.3291,5.4119,6.4669,7.4971,8.5009,9.4757,10.418,11.329,12.208,13.052,13.861,14.635,15.368,16.061,16.711,17.316,17.875,18.388,18.854,19.274,19.646,19.974,20.256,20.495,20.693,20.848,20.965,21.044,21.089,21.102,21.307,21.798,22.256,22.678,23.061,23.402,23.698,23.947,24.147,24.298,24.397,24.445,24.439,24.379,24.262,24.09,23.863,23.581,23.244,22.853,22.41,21.915,21.369,20.776,20.134,19.445,18.71,17.933,17.117,16.267,15.388,14.484,13.558,12.62,12.195,11.763,11.309,10.833,10.332,9.8051,9.2495,8.6626,8.0428,7.3906,6.708,5.9906,5.2469,4.4933,3.7858,3.4168,4.0542,4.8212,5.5865,6.3242,7.0275,7.7031,8.3495,8.9689,9.56,10.126,10.665,11.182,11.677,12.151,12.604,0
5,5.19E-03,9.96E-02,1.0492,2.1889,3.314,4.4205,5.5009,6.554,7.5815,8.5831,9.5556,10.495,11.404,12.279,13.121,13.927,14.697,15.428,16.117,16.763,17.365,17.92,18.428,18.891,19.307,19.675,19.999,20.278,20.513,20.707,20.859,20.973,21.049,21.091,21.101,21.349,21.838,22.293,22.712,23.091,23.428,23.72,23.965,24.161,24.308,24.403,24.447,24.436,24.371,24.25,24.074,23.842,23.555,23.213,22.818,22.371,21.871,21.322,20.724,20.078,19.386,18.647,17.866,17.047,16.195,15.314,14.408,13.48,12.577,12.159,11.726,11.27,10.793,10.289,9.7594,9.202,8.6119,7.9898,7.3345,6.65,5.9292,5.1842,4.4312,3.734,3.4599,4.1155,4.8856,5.6492,6.3843,7.0849,7.7581,8.4027,9.0192,9.6081,10.171,10.709,11.224,11.717,12.19,12.641,0
6,5.95E-03,0.14283,1.1447,2.2831,3.4074,4.5119,5.5898,6.6403,7.6664,8.6654,9.635,10.572,11.478,12.35,13.189,13.993,14.76,15.487,16.172,16.815,17.413,17.964,18.469,18.927,19.339,19.704,20.024,20.299,20.531,20.721,20.87,20.981,21.054,21.093,21.101,21.391,21.877,22.329,22.745,23.121,23.454,23.742,23.983,24.176,24.318,24.409,24.448,24.433,24.363,24.237,24.056,23.82,23.529,23.183,22.783,22.331,21.827,21.274,20.672,20.022,19.326,18.584,17.799,16.977,16.123,15.239,14.331,13.402,12.543,12.125,11.689,11.232,10.752,10.247,9.7143,9.154,8.5611,7.9363,7.2788,6.5908,5.8679,5.1216,4.3695,3.6851,3.505,4.1776,4.9502,5.7112,6.444,7.1421,7.8129,8.4552,9.0693,9.6561,10.217,10.753,11.266,11.757,12.228,12.677,0
7,6.92E-03,0.19441,1.2396,2.3775,3.4996,4.6028,5.6783,6.7272,7.7512,8.7471,9.7143,10.649,11.552,12.422,13.257,14.058,14.822,15.545,16.228,16.866,17.46,18.007,18.509,18.963,19.371,19.732,20.048,20.32,20.549,20.735,20.881,20.988,21.059,21.095,21.1,21.432,21.916,22.365,22.778,23.15,23.48,23.764,24.001,24.189,24.327,24.414,24.449,24.429,24.355,24.224,24.039,23.798,23.502,23.151,22.747,22.291,21.783,21.226,20.62,19.966,19.266,18.52,17.732,16.907,16.05,15.164,14.254,13.323,12.508,12.089,11.652,11.192,10.71,10.203,9.6691,9.1059,8.5104,7.883,7.2225,6.5318,5.8066,5.0585,4.3081,3.6389,3.5523,4.2409,5.0142,5.7735,6.5038,7.199,7.8675,8.5071,9.1192,9.7041,10.263,10.797,11.308,11.797,12.266,12.714,0
8,7.54E-03,0.25398,1.3348,2.4714,3.5925,4.6935,5.7663,6.8137,7.8347,8.8288,9.7936,10.726,11.626,12.493,13.325,14.123,14.884,15.604,16.283,16.918,17.508,18.051,18.548,18.999,19.403,19.76,20.073,20.341,20.566,20.749,20.891,20.995,21.063,21.097,21.099,21.474,21.955,22.401,22.81,23.179,23.505,23.786,24.019,24.203,24.337,24.419,24.449,24.425,24.346,24.211,24.021,23.776,23.475,23.12,22.711,22.251,21.738,21.177,20.567,19.91,19.205,18.456,17.665,16.837,15.977,15.089,14.178,13.245,12.473,12.053,11.614,11.153,10.669,10.159,9.6231,9.0575,8.4595,7.8292,7.166,6.4731,5.7448,4.9956,4.2473,3.5964,3.6025,4.3042,5.0787,5.8356,6.5628,7.2556,7.9218,8.5593,9.1689,9.7516,10.308,10.84,11.35,11.838,12.304,12.751,0
9,8.42E-03,0.32181,1.4303,2.5655,3.6859,4.7843,5.8543,6.8996,7.9184,8.9104,9.8728,10.801,11.699,12.563,13.393,14.188,14.945,15.662,16.337,16.969,17.555,18.094,18.588,19.035,19.434,19.788,20.097,20.361,20.583,20.762,20.901,21.002,21.067,21.098,21.098,21.515,21.993,22.437,22.843,23.208,23.531,23.807,24.036,24.216,24.346,24.424,24.449,24.421,24.337,24.197,24.003,23.753,23.447,23.088,22.675,22.21,21.693,21.128,20.514,19.853,19.145,18.391,17.597,16.767,15.904,15.014,14.101,13.167,12.439,12.017,11.577,11.114,10.627,10.116,9.577,9.0091,8.408,7.7748,7.1095,6.4136,5.6831,4.9325,4.1868,3.5584,3.6549,4.3684,5.1429,5.8974,6.6216,7.3121,7.9762,8.6111,9.2185,9.7987,10.354,10.884,11.391,11.877,12.342,12.786,0
10,9.15E-03,0.39718,1.5252,2.6594,3.7783,4.8748,5.9424,6.9858,8.0023,8.9915,9.9513,10.878,11.773,12.634,13.46,14.252,15.007,15.72,16.392,17.02,17.601,18.137,18.627,19.07,19.466,19.816,20.12,20.381,20.599,20.775,20.911,21.009,21.071,21.099,21.097,21.556,22.032,22.472,22.875,23.237,23.555,23.828,24.053,24.229,24.354,24.428,24.449,24.416,24.327,24.183,23.984,23.729,23.419,23.055,22.638,22.169,21.648,21.079,20.461,19.796,19.084,18.326,17.529,16.696,15.831,14.939,14.023,13.089,12.404,11.982,11.539,11.074,10.586,10.072,9.5308,8.9603,8.3567,7.7207,7.0526,6.3534,5.6212,4.8695,4.1269,3.5236,3.7084,4.433,5.2066,5.9592,6.6804,7.3687,8.0302,8.6629,9.268,9.8462,10.398,10.927,11.432,11.916,12.38,12.822,0
11,9.87E-03,0.48011,1.6202,2.7532,3.8696,4.965,6.0303,7.0716,8.0859,9.073,10.03,10.954,11.846,12.704,13.528,14.317,15.068,15.777,16.446,17.07,17.647,18.18,18.665,19.105,19.496,19.843,20.144,20.401,20.615,20.788,20.921,21.016,21.075,21.1,21.101,21.597,22.07,22.507,22.907,23.265,23.58,23.849,24.069,24.241,24.362,24.432,24.448,24.411,24.317,24.168,23.965,23.706,23.391,23.023,22.601,22.127,21.602,21.029,20.407,19.738,19.022,18.262,17.461,16.625,15.758,14.864,13.946,13.01,12.37,11.945,11.501,11.035,10.545,10.028,9.4847,8.9107,8.3051,7.6665,6.9957,6.2935,5.5592,4.807,4.0676,3.4921,3.7632,4.4972,5.2705,6.0204,6.7385,7.4249,8.0839,8.7145,9.3169,9.893,10.443,10.97,11.474,11.956,12.418,12.858,0
12,1.07E-02,0.57152,1.7154,2.8472,3.9615,5.0548,6.118,7.1567,8.1694,9.154,10.108,11.029,11.919,12.774,13.595,14.381,15.128,15.835,16.499,17.12,17.694,18.222,18.704,19.139,19.527,19.869,20.167,20.42,20.631,20.801,20.93,21.022,21.078,21.101,21.136,21.638,22.108,22.542,22.938,23.293,23.604,23.869,24.086,24.253,24.37,24.435,24.447,24.405,24.307,24.154,23.945,23.681,23.362,22.989,22.563,22.086,21.556,20.979,20.354,19.68,18.961,18.196,17.392,16.554,15.684,14.788,13.869,12.931,12.335,11.909,11.463,10.994,10.502,9.984,9.4381,8.8618,8.2526,7.6119,6.9386,6.2334,5.4969,4.7439,4.0089,3.4638,3.819,4.5624,5.3338,6.0815,6.7967,7.4808,8.1377,8.7657,9.3656,9.9399,10.488,11.012,11.515,11.996,12.455,12.894,0
